iter	Passed	Remaining
6632	14048	81446633	14074	81246634	14093	81006635	14115	80786636	14135	80556637	14156	80326638	14177	8009
639	14196	79856640	14216	7962
641	14233	79376642	14254	79136643	14269	78886644	14285	78626645	14302	78376646	14329	78186647	14354	77976648	14373	77736649	14393	77506650	14425	7733
651	14447	77116652	14475	7692
653	14492	76676654	14514	76446655	14537	76236656	14557	76006657	14576	75766658	14593	75516659	14613	75286660	14642	75096661	14664	74876662	14691	74676663	14712	7444664	14747	7429
665	14774	7409
666	14796	7387
667	14817	7364
668	14841	7343
669	14865	7321
670	14882	7297
671	14902	7273
672	14926	7252
673	14949	7230
674	14966	7206
675	14988	7183
676	15016	7164
677	15039	7142
678	15068	7123
679	15085	7098
680	15102	7074
681	15128	7054
6682	15145	70296683	15181	7013
684	15207	6993
685	15232	6972
686	15254	6949
687	15275	6927
688	15298	6905
689	15314	68806690	15328	68546691	15344	68296692	15359	68046693	15377	67806694	15395	67566695	15411	6731
696	15427	6706
697	15442	66816698	15460	66576699	15471	66307700	15485	66057701	15501	65807702	15519	65567703	15533	65317704	15549	65067705	15563	6481
706	15579	6456
707	15595	6432
708	15609	6406
709	15625	6382
710	15639	6356
711	15656	6332
712	15672	6308
713	15688	6284
714	15708	6261
715	15723	6236
716	15736	6211
717	15751	6186
718	15769	6163
719	15785	6138
720	15800	6114
721	15815	6089
722	15834	6066
723	15852	6043
724	15866	6018
725	15882	5994
726	15899	5970
727	15914	5946
728	15929	5921
729	15942	5896
730	15956	5871
731	15971	5847
732	15986	5823
733	15997	5797
734	16009	5772
735	16021	5746
736	16031	5721
737	16042	5695
738	16055	5670
739	16067	5645
740	16081	5620
741	16092	5595
742	16106	5571
743	16119	5546
744	16132	5521
745	16145	5497
746	16163	5474
747	16176	5449
748	16187	5424
749	16201	5400
750	16211	5375
751	16226	5351
752	16241	5327
753	16255	5303
754	16269	5279
755	16282	5255
756	16296	5231
757	16307	5206
758	16321	5182
759	16337	5159
760	16348	5134
761	16362	5110
762	16376	5086
763	16390	5062
764	16401	5038
765	16413	5013
766	16424	4989
767	16436	4965
768	16447	4940
769	16458	4916
770	16468	4891
771	16480	4867
772	16493	4843
773	16505	4819
774	16517	4795
775	16528	4771
776	16540	4747
777	16554	4723
778	16566	4699
779	16578	4675
780	16590	4652
781	16602	4628
782	16613	4604
783	16625	4580
784	16639	4557
785	16651	4533
786	16664	4510
787	16678	4487
788	16688	4462
789	16702	4440
790	16713	4415
791	16723	4392
792	16737	4369
793	16749	4345
794	16763	4322
795	16776	4299
796	16789	4276
797	16802	4253
798	16815	4230
799	16829	4207
800	16844	4184
801	16857	4161
802	16869	4138
803	16881	4115
804	16893	4092
805	16905	4069
806	16918	4046
807	16930	4023
808	16941	3999
809	16953	3976
810	16965	3953
811	16978	3931
812	16990	3908
813	17003	3885
814	17017	3862
815	17031	3840
816	17046	3818
817	17058	3795
818	17070	3772
819	17080	3749
820	17094	3726
821	17106	3704
822	17120	3682
823	17132	3659
824	17144	3636
825	17158	3614
826	17175	3592
827	17189	3570
828	17203	3548
829	17216	3526
830	17228	3503
831	17243	3481
832	17258	3459
833	17268	3437
834	17283	3415
835	17293	3392
836	17306	3370
837	17317	3347
838	17330	3325
839	17340	3303
840	17352	3280
841	17365	3258
842	17376	3236
843	17388	3213
844	17401	3191
845	17413	3169
846	17424	3147
847	17435	3125
848	17446	3102
849	17458	3080
850	17468	3058
851	17480	3036
852	17491	3014
853	17504	2992
854	17516	2970
855	17526	2948
856	17537	2926
857	17547	2904
858	17559	2882
859	17570	2860
860	17579	2838
861	17591	2816
862	17601	2794
863	17611	2772
864	17621	2750
865	17631	2728
866	17643	2706
867	17654	2684
868	17665	2663
869	17677	2641
870	17687	2619
871	17698	2597
872	17709	2576
873	17721	2554
874	17732	2533
875	17743	2511
876	17753	2489
877	17765	2468
878	17778	2447
879	17789	2425
880	17800	2404
881	17809	2382
882	17822	2361
883	17833	2340
884	17846	2319
885	17858	2297
886	17869	2276
887	17879	2255
888	17890	2233
889	17904	2212
890	17915	2191
891	17927	2170
892	17936	2149
893	17948	2128
894	17957	2106
895	17968	2085
896	17979	2064
897	17989	2043
898	18001	2022
899	18010	2001
900	18020	1980
901	18031	1959
902	18042	1938
903	18052	1917
904	18063	1896
905	18074	1875
906	18085	1854
907	18095	1833
908	18105	1812
909	18115	1791
910	18128	1771
911	18137	1750
912	18150	1729
913	18160	1708
914	18172	1688
915	18182	1667
916	18192	1646
917	18203	1625
918	18214	1605
919	18227	1585
920	18239	1564
921	18251	1544
922	18261	1523
923	18271	1502
924	18282	1482
925	18294	1461
926	18304	1441
927	18316	1421
928	18328	1400
929	18339	1380
930	18351	1360
931	18362	1339
932	18374	1319
933	18384	1299
934	18395	1278
935	18405	1258
936	18418	1238
937	18430	1218
938	18440	1197
939	18454	1177
940	18467	1157
941	18482	1138
